ID,Area,Year,Lat,Long,UTM_east,UTM_north,UTM_zone,Depth,WL,Elev,TDS,ph,EC,K,Ca,Mg,Na,SO4,Cl,HCO3,Bal,Aq,Fac
SB_185  ,PT. Ny.Meneer-1,1992,-6.95854,110.45625,439936,9230800,49M,96,23.37,2,424,7.85,704,6.5,10,6,120,92.5,35.7,222,-1.5,Garang,sodium bicarbonate
SB_273  ,PT. INAN,1992,-6.98295,110.44322,438500,9228100,49M,94,14.4,20,964,7.31,1372,5,8.7,8,150,65.5,136.4,171.4,-1.7,Quaternary marine,sodium chloride
SB_283  ,Obs. SD Kuningan,1992,-6.96437,110.41608,435500,9230150,49M,150,15.25,2,531,7.24,759,10,3.7,29,148,71.7,37.2,379.1,2.8,Garang,sodium bicarbonate
SB_271  ,PT. Sango Keramik,1992,-6.98006,110.31332,424150,9228400,49M,65,31.49,25,279,6.94,408,6,41.2,12,30,10.9,13.9,261.7,-4.3,Damar,calcium bicarbonate
SB_270  ,Dolog Mangkang,1992,-6.97099,110.29341,421950,9229400,49M,,19.8,20,381,7.23,557,9,45,16.4,50,38.3,57,231.9,-1.6,Damar,calcium bicarbonate
SB_278  ,Hotel Santika,1992,-6.99333,110.42918,436950,9226950,49M,86,7.86,5,901,7.15,1341,10,53.7,29.4,160,14.9,224,355.9,-0.6,Quaternary marine,sodium bicarbonate
SB_325  ,PT Wahyu Utomo,1992,-6.99323,110.3477,427950,9226950,49M,76,44.6,72,262,6.87,373,6,46.2,13.6,50,70.4,12.4,268.4,-3.8,Damar,calcium bicarbonate
SB_190  ,PT. Gentong Gotri,1992,-6.98338,110.42874,436900,9228050,49M,,22.1,4,669,7.24,1020,15,36.2,34.6,134,15.5,173.6,301.3,3.4,Quaternary marine,sodium bicarbonate
SB_256  ,"Tambakharjo, Tugu",1992,-6.97832,110.36447,429800,9228600,49M,,4.64,2,1767,7.64,2790,19,10.5,60,320,22,664,117.2,-3,Quaternary marine,sodium chloride
SB_206  ,"Tambak Udang, Mangkang",1992,-6.9502,110.30385,423100,9231700,49M,80,11.57,1,541,7.48,790,12,2.5,9,164,123.5,111.6,169.6,-1.2,Quaternary marine,sodium chloride
SB_198  ,PT. Damaitex,1992,-6.99828,110.40608,434400,9226400,49M,125,9,6,814,7.38,1240,14,142.5,12,55,42.6,175.2,275.5,2.5,Quaternary marine,calcium chloride
SB_321  ,Desa Donorejo,1992,-6.95242,110.6117,457107,9231493,49M,114,1.5,4,1109,7.26,1650,2.4,19.1,7.8,276,162.6,177.4,370.3,-2.8,Quaternary marine,sodium bicarbonate
SB_758  ,Guntur,1992,-6.9804,110.61252,457200,9228400,49M,100,0.5,6,945,7.21,1350,9.2,17.6,5.3,248,166.1,99.6,382.5,-0.8,Quaternary marine,sodium bicarbonate
SB_225  ,PDAM Manyaran,1992,-7.00096,110.383,431850,9226100,49M,100,56.57,65,614,7.12,900,11.6,52.9,22.1,37,6.5,12.7,352.3,0.8,Damar,calcium bicarbonate
SB_92  ,RS Kariadi,1992,-6.99104,110.40609,434400,9227200,49M,75,6.8,6,449,7.21,680,7.4,67.6,20.8,50,16.3,43.4,322.4,4.2,Damar,calcium bicarbonate
SB_100  ,"Metro International Hotel, PT.",1992,-6.96838,110.42856,436878,9229709,49M,80,17.3,3,817,7.34,1200,10.6,42.6,13.4,168,79.5,215.4,253.2,-4.7,Quaternary marine,sodium chloride
SB_726  ,Jamus Mranggen,1992,-7.0002,110.50205,445000,9226200,49M,,8,14,529,7.25,800,6.4,17.6,5.3,130,36.2,27.2,321.2,2.5,Quaternary marine,sodium bicarbonate
SB_60  ,PT Amor Abadi,1992,-6.96259,110.43691,437800,9230350,49M,95,16.2,2,484,7.14,690,8,8.1,3.2,140,66.7,36.2,260.7,2,Garang,sodium bicarbonate
SB_36  ,Pabrik Kembang Gula Sano,1993,-6.99832,110.44049,438200,9226400,49M,72,19.65,6,458,7.32,685,8,28,12,135,53.4,21,464.5,-4.8,Garang,sodium bicarbonate
SB_112  ,Hotel Siranda,1993,-6.99816,110.41842,435763,9226415,49M,122,24.96,30,519,7.35,740,7.6,89.9,23.6,62,17.7,70,377.9,4.4,Damar,calcium bicarbonate
SB_214  ,Obs. Citra Land,2003,-6.98886,110.42307,436275,9227444,49M,120,12,5,152,7.56,226,11.5,14.2,6,31,31.5,25.8,78.8,3.1,Garang,sodium bicarbonate
SB_215  ,S. Pantau PT. Kimia Farma,2003,-7.00257,110.39169,432811,9225924,49M,152,5.97,18,304,6.46,457,7.5,48.6,22.4,28,11.7,16.6,315.2,-1.7,Damar,calcium bicarbonate
SB_790  ,Aquaria,2003,-7.02417,110.49976,444750,9223550,49M,,32.5,5,451,7.26,672,6,25,9,132,52.6,19.6,360.3,2.1,Garang,sodium bicarbonate
